,date,truth,test_result,loss
0,2020-03-01,3452.0,2133.5706371068954,-1318.4293628931046
1,2020-03-02,1735.5600043535233,2133.5706371068954,398.0106327533722
2,2020-03-03,2667.9999958127737,2343.8343686908484,-324.16562712192535
3,2020-03-04,2104.000010639429,2535.626547937747,431.626537298318
4,2020-03-05,2175.9999931156635,2460.182985112071,284.1829919964075
5,2020-03-06,2914.000003963709,2585.8380159549415,-328.16198800876737
6,2020-03-07,2362.0000022649765,2361.3952434659004,-0.6047587990760803
7,2020-03-08,2498.000000908971,2334.88487175107,-163.1151291579008
8,2020-03-09,2821.9999900758266,2441.751568943262,-380.24842113256454
9,2020-03-10,2400.0000020861626,2319.362275749445,-80.6377263367176
10,2020-03-11,2583.9999992512167,2350.9373323470354,-233.06266690418124
11,2020-03-12,2445.9800032302737,2411.276620462537,-34.70338276773691
12,2020-03-13,2416.0000027269125,2401.6039216816425,-14.396081045269966
13,2020-03-14,2324.0000024437904,2442.620341718197,118.62033927440643
14,2020-03-15,1837.9199886918068,2470.316504329443,632.3965156376362
15,2020-03-16,2001.999981045723,2623.3104946017265,621.3105135560036
16,2020-03-17,2163.999996036291,2728.2831234782934,564.2831274420023
17,2020-03-18,2644.000001654029,2620.6890001669526,-23.311001487076283
18,2020-03-19,2084.0000064373016,2443.958471916616,359.9584654793143
19,2020-03-20,2149.99999037385,2470.5264733955264,320.52648302167654
20,2020-03-21,2705.9999956339598,2599.9746032059193,-106.0253924280405
21,2020-03-22,2486.0000004284084,2430.564184188843,-55.43581623956561
22,2020-03-23,2098.000012099743,2360.5642239004374,262.56421180069447
23,2020-03-24,1979.999995470047,2506.717152353376,526.7171568833292
24,2020-03-25,2391.9999949634075,2648.9370738863945,256.937078922987
25,2020-03-26,2135.480010777712,2556.1788803189993,420.6988695412874
26,2020-03-27,2503.999999448657,2521.338922765106,17.338923316448927
27,2020-03-28,2524.0000002495944,2487.5362023301423,-36.46379791945219
28,2020-03-29,1984.4699754714966,2401.4845807254314,417.01460525393486
29,2020-03-30,2315.9999953210354,2525.4331222847104,209.43312696367502
30,2020-03-31,2468.0000014081597,2577.6677146479487,109.66771323978901
31,2020-04-01,2570.0000003911555,2458.182309895754,-111.81769049540162
32,2020-04-02,2777.9999917149544,2397.949982404709,-380.0500093102455
33,2020-04-03,2198.00000590086,2315.9440389424562,117.94403304159641
34,2020-04-04,2008.0000067949295,2413.1452070623636,405.1452002674341
35,2020-04-05,2334.000004544854,2609.0997103899717,275.09970584511757
36,2020-04-06,1972.0000155568123,2566.050171185285,594.0501556284726
37,2020-04-07,2140.0000018775463,2579.6845965348184,439.6845946572721
38,2020-04-08,2012.0000239610672,2637.6119069233537,625.6118829622865
39,2020-04-09,2280.000004082918,2625.8936372175813,345.8936331346631
40,2020-04-10,3270.3699758648872,2580.902396030724,-689.4675798341632
41,2020-04-11,3229.91997641325,2238.561265081167,-991.3587113320827
42,2020-04-12,1984.0000126361847,2117.1903698146343,133.19035717844963
43,2020-04-13,2294.0000097453594,2338.408314168453,44.408304423093796
44,2020-04-14,2425.999998025596,2584.337315674871,158.33731764927506
45,2020-04-15,2175.9999931156635,2473.3732218444347,297.3732287287712
46,2020-04-16,2053.9999865293503,2503.00857295841,449.0085864290595
47,2020-04-17,2001.999981045723,2601.579638391733,599.5796573460102
48,2020-04-18,2268.0000070035458,2655.0746573656797,387.074650362134
49,2020-04-19,2324.0000024437904,2587.379707377404,263.37970493361354
50,2020-04-20,2263.999989837408,2504.9712602831423,240.97127044573426
51,2020-04-21,2433.999998345971,2506.5775164961815,72.57751815021038
52,2020-04-22,2382.000006467104,2478.0334780216217,96.03347155451775
53,2020-04-23,1885.999972999096,2452.8735760226846,566.8736030235887
54,2020-04-24,2230.0000071823597,2590.301418054849,360.3014108724892
55,2020-04-25,2220.289990544319,2634.8964240029454,414.60643345862627
56,2020-04-26,2780.000000298023,2541.1468519871123,-238.8531483109109
57,2020-04-27,3129.9999786019325,2395.40574260056,-734.5942360013723
58,2020-04-28,1963.999981224537,2187.1890920698643,223.18911084532738
59,2020-04-29,2237.9999870955944,2372.77472743392,134.7747403383255
60,2020-04-30,1716.0000053048134,2608.4764695242047,892.4764642193913
61,2020-05-01,1784.0000250339508,2690.0354898124933,906.0354647785425
