,date,truth,test_result,loss
0,2020-03-01,3452.0,2313.319231748581,-1138.680768251419
1,2020-03-02,1735.5600043535233,2313.319231748581,577.7592273950577
2,2020-03-03,2667.9999958127737,2283.154947966337,-384.8450478464365
3,2020-03-04,2104.000010639429,2351.044633090496,247.04462245106697
4,2020-03-05,2175.9999931156635,2264.7686315774918,88.76863846182823
5,2020-03-06,2914.000003963709,2256.4428448677063,-657.5571590960026
6,2020-03-07,2362.0000022649765,2464.9984648004174,102.99846253544092
7,2020-03-08,2498.000000908971,2305.273784726858,-192.7262161821127
8,2020-03-09,2821.9999900758266,2418.136290192604,-403.8636998832226
9,2020-03-10,2400.0000020861626,2379.330072283745,-20.669929802417755
10,2020-03-11,2583.9999992512167,2275.308756262064,-308.69124298915267
11,2020-03-12,2445.9800032302737,2346.071032077074,-99.90897115319967
12,2020-03-13,2416.0000027269125,2241.044133812189,-174.9558689147234
13,2020-03-14,2324.0000024437904,2154.5415314137936,-169.45847102999687
14,2020-03-15,1837.9199886918068,2126.345121771097,288.4251330792904
15,2020-03-16,2001.999981045723,2187.735622495413,185.73564144968987
16,2020-03-17,2163.999996036291,2131.300682872534,-32.699313163757324
17,2020-03-18,2644.000001654029,2433.639900751412,-210.36010090261698
18,2020-03-19,2084.0000064373016,2361.2062869518995,277.2062805145979
19,2020-03-20,2149.99999037385,2299.6105312108994,149.61054083704948
20,2020-03-21,2705.9999956339598,2457.482725918293,-248.51726971566677
21,2020-03-22,2486.0000004284084,2266.8974772393703,-219.10252318903804
22,2020-03-23,2098.000012099743,2153.095399826765,55.09538772702217
23,2020-03-24,1979.999995470047,2162.7280870079994,182.72809153795242
24,2020-03-25,2391.9999949634075,2148.335094243288,-243.66490072011948
25,2020-03-26,2135.480010777712,2254.957205057144,119.4771942794323
26,2020-03-27,2503.999999448657,2195.7429489791393,-308.2570504695177
27,2020-03-28,2524.0000002495944,2412.3648652285337,-111.6351350210607
28,2020-03-29,1984.4699754714966,2454.785901926458,470.3159264549613
29,2020-03-30,2315.9999953210354,2159.8120427131653,-156.1879526078701
30,2020-03-31,2468.0000014081597,2439.6251857429743,-28.37481566518545
31,2020-04-01,2570.0000003911555,2366.446990221739,-203.55301016941667
32,2020-04-02,2777.9999917149544,2261.446512401104,-516.5534793138504
33,2020-04-03,2198.00000590086,2197.422647088766,-0.5773588120937347
34,2020-04-04,2008.0000067949295,2137.8966515362263,129.89664474129677
35,2020-04-05,2334.000004544854,2132.102084875107,-201.89791966974735
36,2020-04-06,1972.0000155568123,2172.657630056143,200.65761449933052
37,2020-04-07,2140.0000018775463,2146.4407402276993,6.440738350152969
38,2020-04-08,2012.0000239610672,2186.547518789768,174.54749482870102
39,2020-04-09,2280.000004082918,2165.8959282040596,-114.10407587885857
40,2020-04-10,3270.3699758648872,2687.0042812228203,-583.365694642067
41,2020-04-11,3229.91997641325,2789.3447291254997,-440.57524728775024
42,2020-04-12,1984.0000126361847,2218.5401735007763,234.5401608645916
43,2020-04-13,2294.0000097453594,2185.099400907755,-108.90060883760452
44,2020-04-14,2425.999998025596,2153.3493734896183,-272.65062453597784
45,2020-04-15,2175.9999931156635,2162.4528355002403,-13.547157615423203
46,2020-04-16,2053.9999865293503,2164.753917425871,110.75393089652061
47,2020-04-17,2001.999981045723,2182.9432096779346,180.94322863221169
48,2020-04-18,2268.0000070035458,2186.642425596714,-81.35758140683174
49,2020-04-19,2324.0000024437904,2175.347100675106,-148.6529017686844
50,2020-04-20,2263.999989837408,2180.039464086294,-83.96052575111389
51,2020-04-21,2433.999998345971,2192.111457556486,-241.88854078948498
52,2020-04-22,2382.000006467104,2169.248576462269,-212.75143000483513
53,2020-04-23,1885.999972999096,2162.536912918091,276.5369399189949
54,2020-04-24,2230.0000071823597,2171.936849862337,-58.06315732002258
55,2020-04-25,2220.289990544319,2265.2687697708607,44.97877922654152
56,2020-04-26,2780.000000298023,2441.7432564347982,-338.256743863225
57,2020-04-27,3129.9999786019325,2845.88222143054,-284.11775717139244
58,2020-04-28,1963.999981224537,2399.3206347823143,435.3206535577774
59,2020-04-29,2237.9999870955944,2163.544916808605,-74.45507028698921
60,2020-04-30,1716.0000053048134,2152.3209080398083,436.3209027349949
61,2020-05-01,1784.0000250339508,2181.735161393881,397.73513635993004
