,date,truth,test_result,loss
0,2020-03-01,3452.0,2203.398946136236,-1248.6010538637638
1,2020-03-02,1735.5600043535233,2203.398946136236,467.83894178271294
2,2020-03-03,2667.9999958127737,2250.761850744486,-417.23814506828785
3,2020-03-04,2104.000010639429,2267.699096918106,163.699086278677
4,2020-03-05,2175.9999931156635,2208.1876040399075,32.18761092424393
5,2020-03-06,2914.000003963709,2162.349085599184,-751.6509183645248
6,2020-03-07,2362.0000022649765,2293.350545704365,-68.64945656061172
7,2020-03-08,2498.000000908971,2255.303119689226,-242.69688121974468
8,2020-03-09,2821.9999900758266,2237.389269411564,-584.6107206642628
9,2020-03-10,2400.0000020861626,2268.7227190732956,-131.27728301286697
10,2020-03-11,2583.9999992512167,2251.5202617049217,-332.4797375462949
11,2020-03-12,2445.9800032302737,2254.7529159784317,-191.22708725184202
12,2020-03-13,2416.0000027269125,2242.6348839998245,-173.36511872708797
13,2020-03-14,2324.0000024437904,2229.5327380895615,-94.46726435422897
14,2020-03-15,1837.9199886918068,2212.726805061102,374.8068163692951
15,2020-03-16,2001.999981045723,2142.675650060177,140.6756690144539
16,2020-03-17,2163.999996036291,2126.315653860569,-37.68434217572212
17,2020-03-18,2644.000001654029,2155.1421815752983,-488.8578200787306
18,2020-03-19,2084.0000064373016,2265.586631387472,181.58662495017052
19,2020-03-20,2149.99999037385,2202.046877861023,52.04688748717308
20,2020-03-21,2705.9999956339598,2158.2598212063313,-547.7401744276285
21,2020-03-22,2486.0000004284084,2278.363569110632,-207.63643131777644
22,2020-03-23,2098.000012099743,2246.910615235567,148.9106031358242
23,2020-03-24,1979.999995470047,2185.7517491579056,205.75175368785858
24,2020-03-25,2391.9999949634075,2140.9120922088623,-251.0879027545452
25,2020-03-26,2135.480010777712,2188.3248990774155,52.8448882997036
26,2020-03-27,2503.999999448657,2181.5399330854416,-322.46006636321545
27,2020-03-28,2524.0000002495944,2226.146948635578,-297.8530516140163
28,2020-03-29,1984.4699754714966,2246.403511404991,261.93353593349457
29,2020-03-30,2315.9999953210354,2172.681574434042,-143.3184208869934
30,2020-03-31,2468.0000014081597,2175.0402861237526,-292.95971528440714
31,2020-04-01,2570.0000003911555,2228.522720694542,-341.47727969661355
32,2020-04-02,2777.9999917149544,2251.646105736494,-526.3538859784603
33,2020-04-03,2198.00000590086,2261.8798784315586,63.879872530698776
34,2020-04-04,2008.0000067949295,2237.0073021650314,229.00729537010193
35,2020-04-05,2334.000004544854,2150.2891459465027,-183.71085859835148
36,2020-04-06,1972.0000155568123,2178.722931444645,206.72291588783264
37,2020-04-07,2140.0000018775463,2156.484263956547,16.484262079000473
38,2020-04-08,2012.0000239610672,2150.3601083755493,138.36008441448212
39,2020-04-09,2280.000004082918,2146.8674127161503,-133.13259136676788
40,2020-04-10,3270.3699758648872,2171.0568667650223,-1099.313109099865
41,2020-04-11,3229.91997641325,2294.8847272992134,-935.0352491140366
42,2020-04-12,1984.0000126361847,2209.38354408741,225.38353145122528
43,2020-04-13,2294.0000097453594,2255.4407998621464,-38.55920988321304
44,2020-04-14,2425.999998025596,2171.6437761187553,-254.3562219068408
45,2020-04-15,2175.9999931156635,2218.888210475445,42.888217359781265
46,2020-04-16,2053.9999865293503,2191.405914694071,137.40592816472054
47,2020-04-17,2001.999981045723,2153.46074205637,151.46076101064682
48,2020-04-18,2268.0000070035458,2140.4090698063374,-127.5909371972084
49,2020-04-19,2324.0000024437904,2168.7992112338543,-155.20079120993614
50,2020-04-20,2263.999989837408,2198.681604385376,-65.31838545203209
51,2020-04-21,2433.999998345971,2194.4354771077633,-239.56452123820782
52,2020-04-22,2382.000006467104,2218.204652905464,-163.79535356163979
53,2020-04-23,1885.999972999096,2223.215612590313,337.21563959121704
54,2020-04-24,2230.0000071823597,2151.906316578388,-78.09369060397148
55,2020-04-25,2220.289990544319,2156.9160246253014,-63.37396591901779
56,2020-04-26,2780.000000298023,2178.25753980875,-601.7424604892731
57,2020-04-27,3129.9999786019325,2281.9353628456593,-848.0646157562733
58,2020-04-28,1963.999981224537,2253.9046591818333,289.90467795729637
59,2020-04-29,2237.9999870955944,2242.942025065422,4.942037969827652
60,2020-04-30,1716.0000053048134,2162.4766982495785,446.4766929447651
61,2020-05-01,1784.0000250339508,2124.625697761774,340.62567272782326
