,date,truth,test_result,loss
0,2020-03-01,3452.0,2458.4642277359962,-993.5357722640038
1,2020-03-02,1735.5600043535233,2458.4642277359962,722.904223382473
2,2020-03-03,2667.9999958127737,2551.4135324712843,-116.58646334148943
3,2020-03-04,2104.000010639429,2489.6007348895073,385.6007242500782
4,2020-03-05,2175.9999931156635,2519.7944355644286,343.79444244876504
5,2020-03-06,2914.000003963709,2499.910864301026,-414.089139662683
6,2020-03-07,2362.0000022649765,2520.789574453607,158.7895721886307
7,2020-03-08,2498.000000908971,2545.369332065806,47.36933115683496
8,2020-03-09,2821.9999900758266,2525.249742021784,-296.75024805404246
9,2020-03-10,2400.0000020861626,2554.5090269539505,154.50902486778796
10,2020-03-11,2583.9999992512167,2543.821627339348,-40.17837191186845
11,2020-03-12,2445.9800032302737,2528.5114594642073,82.53145623393357
12,2020-03-13,2416.0000027269125,2528.9273263718933,112.92732364498079
13,2020-03-14,2324.0000024437904,2524.923091730103,200.92308928631246
14,2020-03-15,1837.9199886918068,2519.681849371642,681.7618606798351
15,2020-03-16,2001.999981045723,2495.673770584166,493.6737895384431
16,2020-03-17,2163.999996036291,2503.1682248190045,339.1682287827134
17,2020-03-18,2644.000001654029,2494.1159643232822,-149.88403733074665
18,2020-03-19,2084.0000064373016,2521.125219192356,437.12521275505424
19,2020-03-20,2149.99999037385,2518.0106542371213,368.0106638632715
20,2020-03-21,2705.9999956339598,2497.2555484324694,-208.7444472014904
21,2020-03-22,2486.0000004284084,2521.3482420258224,35.34824159741402
22,2020-03-23,2098.000012099743,2544.2950661908835,446.2950540911406
23,2020-03-24,1979.999995470047,2511.8746336046606,531.8746381346136
24,2020-03-25,2391.9999949634075,2491.7185947075486,99.7185997441411
25,2020-03-26,2135.480010777712,2503.8702032342553,368.39019245654345
26,2020-03-27,2503.999999448657,2509.6152145564556,5.615215107798576
27,2020-03-28,2524.0000002495944,2515.029909104109,-8.97009114548564
28,2020-03-29,1984.4699754714966,2529.6439707186073,545.1739952471107
29,2020-03-30,2315.9999953210354,2509.5753492079675,193.57535388693213
30,2020-03-31,2468.0000014081597,2500.0890798568726,32.089078448712826
31,2020-04-01,2570.0000003911555,2522.4818654693663,-47.51813492178917
32,2020-04-02,2777.9999917149544,2530.075904848054,-247.92408686690032
33,2020-04-03,2198.00000590086,2559.824757074937,361.8247511740774
34,2020-04-04,2008.0000067949295,2524.512588499114,516.5125817041844
35,2020-04-05,2334.000004544854,2495.8619652315974,161.86196068674326
36,2020-04-06,1972.0000155568123,2502.776550576091,530.7765350192785
37,2020-04-07,2140.0000018775463,2501.807986885309,361.8079850077629
38,2020-04-08,2012.0000239610672,2492.3945540189743,480.3945300579071
39,2020-04-09,2280.000004082918,2493.792198240757,213.79219415783882
40,2020-04-10,3270.3699758648872,2500.039959870279,-770.3300159946084
41,2020-04-11,3229.91997641325,2532.782143333927,-697.1378330793232
42,2020-04-12,1984.0000126361847,2674.082357570529,690.0823449343443
43,2020-04-13,2294.0000097453594,2536.271427599713,242.27141785435379
44,2020-04-14,2425.999998025596,2498.8940717354417,72.89407370984554
45,2020-04-15,2175.9999931156635,2519.3775414973497,343.3775483816862
46,2020-04-16,2053.9999865293503,2512.7891047690064,458.7891182396561
47,2020-04-17,2001.999981045723,2496.9882353022695,494.9882542565465
48,2020-04-18,2268.0000070035458,2491.2386119663715,223.23860496282578
49,2020-04-19,2324.0000024437904,2498.744847923517,174.7448454797268
50,2020-04-20,2263.999989837408,2513.496290406212,249.49630056880414
51,2020-04-21,2433.999998345971,2512.9451190568507,78.94512071087956
52,2020-04-22,2382.000006467104,2518.3316007331014,136.3315942659974
53,2020-04-23,1885.999972999096,2523.205841081217,637.205868082121
54,2020-04-24,2230.0000071823597,2500.4858218729496,270.4858146905899
55,2020-04-25,2220.289990544319,2491.3107308000326,271.02074025571346
56,2020-04-26,2780.000000298023,2507.801536768675,-272.1984635293484
57,2020-04-27,3129.9999786019325,2523.924713207409,-606.0752653945237
58,2020-04-28,1963.999981224537,2607.3402543738484,643.3402731493115
59,2020-04-29,2237.9999870955944,2527.456151822582,289.4561647269875
60,2020-04-30,1716.0000053048134,2494.993376120925,778.9933708161116
61,2020-05-01,1784.0000250339508,2501.500002324581,717.4999772906303
